PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3021570019 | BLDG# | M | ADDRESS 100 SOUTH 10TH STREET | ZIP CODE 11249 | CD # 1 | FC # 07 | SS # 18 | SA # 50 | CC # 34 | BIN# 3000000 |
| 3021570005 |  |  | 447 BERRY STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021560021 |  |  | 448 BERRY STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021570004 |  |  | 449 BERRY STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450001 |  |  | 45 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021560022 |  |  | 450 BERRY STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021570003 |  |  | 451 BERRY STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021570002 |  |  | 453 BERRY STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021570001 |  |  | 455 BERRY STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021570020 |  |  | 462 BEDFORD AVENUE | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021570021 |  |  | 464 BEDFORD AVENUE | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021570022 |  |  | 466 BEDFORD AVENUE | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450036 |  |  | 49 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450035 |  |  | 51 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450034 |  |  | 53 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450033 |  |  | 55 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450032 |  |  | 57 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450031 |  |  | 59 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
| 3021450030 |  |  | 61 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3393826 |
| 3021450029 |  |  | 63 SOUTH 10TH STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3000000 |
